match_guid,time,delta,actor_id,loc_x,loc_y,loc_z,rot_x,rot_y,rot_z,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z
0C52006011F129FCBC11E1A4AF19E2AD,3.533135,0.0,6,256.0,-3840.0,17.01,-0.0033744453,0.0033744453,0.707096,0.0,0.0,0.27,-0.06,0.0,0.0
0C52006011F129FCBC11E1A4AF19E2AD,3.533135,0.0,11,0.0,0.0,92.75,2.6973983e-06,2.6973983e-06,2.6973983e-06,,,,,,
0C52006011F129FCBC11E1A4AF19E2AD,3.533135,0.0,19,-256.0,3840.0,17.01,0.0033744453,0.0033744453,-0.707096,0.0,0.0,0.27,0.06,0.0,0.0
0C52006011F129FCBC11E1A4AF19E2AD,7.554287,0.033617202,6,255.95,-3839.47,17.01,-0.0033744453,0.0033744453,0.707619,-4.97,41.83,0.14,0.03,0.11,13.79
0C52006011F129FCBC11E1A4AF19E2AD,7.554287,0.033617202,19,-255.93,3839.47,17.01,0.0033744453,0.0033744453,-0.7063947,5.87,-41.62,0.14,-0.02,-0.12,16.32
0C52006011F129FCBC11E1A4AF19E2AD,7.6551266,0.0336136,6,253.21,-3824.96,17.01,-0.0034283933,0.003298918,0.7315938,-53.12,251.86,0.05,0.01,0.08,122.52
0C52006011F129FCBC11E1A4AF19E2AD,7.6551266,0.0336136,19,-253.15,3824.95,17.01,0.003298918,0.0034283933,-0.6811793,53.59,-251.99,0.04,-0.01,-0.08,123.0
0C52006011F129FCBC11E1A4AF19E2AD,7.722353,0.0336137,6,249.71,-3798.89,17.01,-0.0035740526,0.00312089,0.7469818,-49.41,421.55,0.01,0.04,-0.2,28.34
0C52006011F129FCBC11E1A4AF19E2AD,7.722353,0.0336137,19,-247.42,3799.24,17.01,0.0030723365,0.003622606,-0.6436853,85.76,-416.52,0.01,-0.09,0.44,100.83
0C52006011F129FCBC11E1A4AF19E2AD,7.7895794,0.0336137,19,-240.95,3766.24,17.01,0.002932072,0.0037305017,-0.6305975,109.84,-553.72,0.01,0.0,0.07,25.95
0C52006011F129FCBC11E1A4AF19E2AD,7.8231926,0.033613697,6,244.51,-3755.83,17.01,-0.0035902371,0.0030993107,0.75037336,-73.13,592.71,0.01,-0.01,0.07,5.0
0C52006011F129FCBC11E1A4AF19E2AD,7.890419,0.0336138,6,236.52,-3692.77,17.01,-0.0035902371,0.003115495,0.7510047,-97.91,764.6,0.01,-0.01,0.07,0.8
